Date,Product Name,Category,Quantity Sold,Price Per Unit
48,2024-03-15,Backpack,Accessories,7.0,261.0
49,2024-02-09,Monitor,Office Supplies,8.0,164.0
50,2024-03-18,Smartphone,Electronics,10.0,320.0
51,2024-04-25,Smartphone,Electronics,1.0,937.0
52,2024-04-10,Keyboard,Office Supplies,5.0,137.0
53,2024-03-22,Hat,Accessories,1.0,717.0
54,2024-03-18,Tablet,Electronics,2.0,58.0
55,2024-05-09,Backpack,Accessories,4.0,657.0
56,2024-04-23,Shoes,Clothing,1.0,249.0
57,2024-02-18,Smartphone,Electronics,1.0,692.0
58,2024-05-24,Monitor,Office Supplies,8.0,482.0
59,2024-05-05,T-Shirt,Clothing,6.0,769.0
60,2024-06-19,Belt,Accessories,8.0,280.0
61,2024-06-22,Smartphone,Electronics,5.0,314.0
62,2024-06-12,Chair,Furniture,3.0,24.0
63,2024-06-28,Headphones,Electronics,7.0,462.0
64,2024-05-20,Scarf,Accessories,1.0,109.0
65,2024-03-02,Sofa,Furniture,5.0,412.0
66,2024-02-17,Sunglasses,Accessories,6.0,791.0
67,2024-03-11,Shoes,Clothing,5.0,977.0
68,2024-03-24,Keyboard,Office Supplies,2.0,316.0
69,2024-03-11,Jeans,Clothing,8.0,890.0
70,2024-03-05,Chair,Furniture,8.0,97.0
71,2024-06-09,Scarf,Accessories,9.0,670.0
72,2024-04-18,Chair,Furniture,6.0,511.0
73,2024-05-26,Headphones,Electronics,4.0,895.0
74,2024-05-23,Printer,Office Supplies,8.0,387.0
75,2024-05-04,Jeans,Clothing,6.0,484.0
76,2024-04-28,Tablet,Electronics,2.0,493.0
77,2024-05-15,Belt,Accessories,5.0,156.0
78,2024-03-05,Chair,Furniture,8.0,97.0
79,2024-06-09,Scarf,Accessories,9.0,670.0
80,2024-04-18,Chair,Furniture,6.0,511.0
81,2024-05-02,Sofa,Furniture,4.0,174.0
83,2024-03-21,Hat,Accessories,3.0,274.0
84,2024-01-31,Tablet,Electronics,8.0,891.0
85,2024-05-13,Keyboard,Office Supplies,5.0,211.0
86,2024-03-13,Scarf,Accessories,6.0,942.0
87,2024-02-17,Smartphone,Electronics,7.0,989.0
88,2024-03-29,Smartwatch,Electronics,1.0,21.0
89,2024-01-27,Scarf,Accessories,9.0,779.0
90,2024-02-24,Sofa,Furniture,6.0,361.0
91,2024-01-18,Sofa,Furniture,5.0,145.0
92,2024-01-06,Printer,Office Supplies,5.0,949.0
93,2024-02-09,Hat,Accessories,4.0,825.0
94,2024-01-16,Belt,Accessories,5.0,791.0
95,2024-01-10,Chair,Furniture,5.0,138.0
96,2024-01-24,Desk,Furniture,5.0,177.0
97,2024-01-14,Sweater,Clothing,3.0,170.0
98,2024-02-19,Sofa,Furniture,5.0,140.0
99,2024-02-28,Hat,Accessories,5.0,773.0
100,2024-03-01,Notebook,Office Supplies,10.0,792.0
101,2024-05-19,Monitor,Office Supplies,1.0,673.0
103,2024-03-21,Hat,Accessories,3.0,274.0
104,2024-01-31,Tablet,Electronics,8.0,891.0
105,2024-05-13,Keyboard,Office Supplies,5.0,211.0
106,2024-06-19,T-Shirt,Clothing,7.0,765.0
107,2024-06-16,Hat,Accessories,9.0,858.0
108,2024-01-09,Smartwatch,Electronics,5.0,669.0
109,2024-01-13,Printer,Office Supplies,9.0,254.0
110,2024-01-07,Monitor,Office Supplies,6.0,93.0
